,0, Best Global,Best Classifier
0,3,1.0,Ridge
1,6,1.0,Ridge
2,8,1.0,Ridge
3,15,1.0,Ridge
4,17,1.0,Ridge
5,23,1.0,Ridge
6,26,1.0,Ridge
7,27,1.0,Ridge
8,30,1.0,Ridge
9,31,1.0,Ridge
10,33,1.0,Ridge
11,36,1.0,Ridge
12,39,1.0,Ridge
13,48,1.0,Ridge
14,50,1.0,Ridge
15,54,1.0,Ridge
16,57,1.0,Ridge
17,59,1.0,Ridge
18,60,1.0,Ridge
19,61,1.0,Ridge
20,63,1.0,Ridge
21,66,1.0,Ridge
22,74,1.0,Ridge
23,75,1.0,Ridge
24,83,1.0,Ridge
25,86,1.0,Ridge
26,90,1.0,Ridge
27,92,1.0,Ridge
28,94,1.0,Ridge
29,97,1.0,Ridge
30,100,1.0,Ridge
31,102,1.0,Ridge
32,103,1.0,Ridge
33,106,1.0,Ridge
34,107,1.0,Ridge
35,116,1.0,Ridge
36,117,1.0,Ridge
37,119,1.0,Ridge
38,120,1.0,Ridge
39,129,1.0,Ridge
40,130,1.0,Ridge
41,131,1.0,Ridge
42,135,1.0,Ridge
43,137,1.0,Ridge
44,138,1.0,Ridge
45,139,1.0,Ridge
46,140,1.0,Ridge
47,149,1.0,Ridge
48,152,1.0,Ridge
49,155,1.0,Ridge
50,159,1.0,Ridge
51,162,1.0,Ridge
52,166,1.0,Ridge
53,167,1.0,Ridge
54,178,1.0,Ridge
55,179,1.0,Ridge
56,180,1.0,Ridge
57,181,1.0,Ridge
58,185,1.0,Ridge
59,187,1.0,Ridge
60,188,1.0,Ridge
61,190,1.0,Ridge
62,192,1.0,Ridge
63,193,1.0,Ridge
64,194,1.0,Ridge
65,195,1.0,Ridge
66,198,1.0,Ridge
67,199,1.0,Ridge
68,203,1.0,Ridge
69,206,1.0,Ridge
70,207,1.0,Ridge
71,208,1.0,Ridge
72,214,1.0,Ridge
73,218,1.0,Ridge
74,219,1.0,Ridge
75,220,1.0,Ridge
76,221,1.0,Ridge
77,223,1.0,Ridge
78,226,1.0,Ridge
79,227,1.0,Ridge
80,230,1.0,Ridge
81,231,1.0,Ridge
82,232,1.0,Ridge
83,234,1.0,Ridge
84,238,1.0,Ridge
85,240,1.0,Ridge
86,243,1.0,Ridge
87,244,1.0,Ridge
88,245,1.0,Ridge
89,246,1.0,Ridge
90,250,1.0,Ridge
91,253,1.0,Ridge
92,257,1.0,Ridge
93,258,1.0,Ridge
94,260,1.0,Ridge
95,261,1.0,Ridge
96,262,1.0,Ridge
97,263,1.0,Ridge
98,264,1.0,Ridge
99,266,1.0,Ridge
100,268,1.0,Ridge
101,277,1.0,Ridge
102,278,1.0,Ridge
103,280,1.0,Ridge
104,282,1.0,Ridge
105,284,1.0,Ridge
106,285,1.0,Ridge
107,287,1.0,Ridge
108,288,1.0,Ridge
109,289,1.0,Ridge
110,290,1.0,Ridge
111,293,1.0,Ridge
112,297,1.0,Ridge
113,298,1.0,Ridge
114,300,1.0,Ridge
115,305,1.0,Ridge
116,306,1.0,Ridge
117,307,1.0,Ridge
118,311,1.0,Ridge
119,313,1.0,Ridge
120,314,1.0,Ridge
121,315,1.0,Ridge
122,319,1.0,Ridge
123,320,1.0,Ridge
124,322,1.0,Ridge
125,323,1.0,Ridge
126,324,1.0,Ridge
127,325,1.0,Ridge
128,326,1.0,Ridge
129,327,1.0,Ridge
130,328,1.0,Ridge
131,329,1.0,Ridge
132,332,1.0,Ridge
133,339,1.0,Ridge
134,342,1.0,Ridge
135,347,1.0,Ridge
136,353,1.0,Ridge
137,355,1.0,Ridge
138,358,1.0,Ridge
139,359,1.0,Ridge
140,360,1.0,Ridge
141,361,1.0,Ridge
142,362,1.0,Ridge
143,364,1.0,Ridge
144,365,1.0,Ridge
145,368,1.0,Ridge
146,376,1.0,Ridge
147,377,1.0,Ridge
148,378,1.0,Ridge
149,383,1.0,Ridge
150,384,1.0,Ridge
151,385,1.0,Ridge
152,386,1.0,Ridge
153,391,1.0,Ridge
154,394,1.0,Ridge
155,398,1.0,Ridge
156,399,1.0,Ridge
157,401,1.0,Ridge
158,403,1.0,Ridge
159,404,1.0,Ridge
160,408,1.0,Ridge
161,411,1.0,Ridge
162,414,1.0,Ridge
163,416,1.0,Ridge
164,417,1.0,Ridge
165,418,1.0,Ridge
166,423,1.0,Ridge
167,426,1.0,Ridge
168,427,1.0,Ridge
169,428,1.0,Ridge
170,431,1.0,Ridge
171,433,1.0,Ridge
172,434,1.0,Ridge
173,435,1.0,Ridge
174,436,1.0,Ridge
175,437,1.0,Ridge
176,438,1.0,Ridge
177,439,1.0,Ridge
178,440,1.0,Ridge
179,444,1.0,Ridge
180,445,1.0,Ridge
181,447,1.0,Ridge
182,449,1.0,Ridge
183,451,1.0,Ridge
184,453,1.0,Ridge
185,459,1.0,Ridge
186,460,1.0,Ridge
187,461,1.0,Ridge
188,462,1.0,Ridge
189,463,1.0,Ridge
190,464,1.0,Ridge
191,465,1.0,Ridge
192,466,1.0,Ridge
193,469,1.0,Ridge
194,471,1.0,Ridge
195,474,1.0,Ridge
196,476,1.0,Ridge
197,478,1.0,Ridge
198,484,1.0,Ridge
199,485,1.0,Ridge
200,487,1.0,Ridge
201,488,1.0,Ridge
202,489,1.0,Ridge
203,491,1.0,Ridge
204,496,1.0,Ridge
205,500,1.0,Ridge
206,504,1.0,Ridge
207,506,1.0,Ridge
208,507,1.0,Ridge
209,511,1.0,Ridge
210,513,1.0,Ridge
211,514,1.0,Ridge
212,523,1.0,Ridge
213,527,1.0,Ridge
214,528,1.0,Ridge
215,529,1.0,Ridge
216,532,1.0,Ridge
217,533,1.0,Ridge
218,535,1.0,Ridge
219,538,1.0,Ridge
220,539,1.0,Ridge
221,540,1.0,Ridge
222,544,1.0,Ridge
223,545,1.0,Ridge
224,546,1.0,Ridge
225,548,1.0,Ridge
226,549,1.0,Ridge
227,550,1.0,Ridge
228,552,1.0,Ridge
229,555,1.0,Ridge
230,561,1.0,Ridge
231,563,1.0,Ridge
232,564,1.0,Ridge
233,565,1.0,Ridge
234,576,1.0,Ridge
235,579,1.0,Ridge
236,582,1.0,Ridge
237,583,1.0,Ridge
238,585,1.0,Ridge
239,589,1.0,Ridge
240,590,1.0,Ridge
241,593,1.0,Ridge
242,595,1.0,Ridge
243,597,1.0,Ridge
244,602,1.0,Ridge
245,604,1.0,Ridge
246,605,1.0,Ridge
247,614,1.0,Ridge
248,622,1.0,Ridge
249,625,1.0,Ridge
250,628,1.0,Ridge
251,630,1.0,Ridge
252,631,1.0,Ridge
253,632,1.0,Ridge
254,633,1.0,Ridge
255,638,1.0,Ridge
256,639,1.0,Ridge
257,646,1.0,Ridge
258,657,1.0,Ridge
259,659,1.0,Ridge
260,660,1.0,Ridge
261,661,1.0,Ridge
262,662,1.0,Ridge
263,664,1.0,Ridge
264,665,1.0,Ridge
265,667,1.0,Ridge
266,668,1.0,Ridge
267,671,1.0,Ridge
268,678,1.0,Ridge
269,679,1.0,Ridge
270,680,1.0,Ridge
271,682,1.0,Ridge
272,684,1.0,Ridge
273,687,1.0,Ridge
274,689,1.0,Ridge
275,690,1.0,Ridge
276,692,1.0,Ridge
277,693,1.0,Ridge
278,695,1.0,Ridge
279,698,1.0,Ridge
280,702,1.0,Ridge
281,703,1.0,Ridge
282,704,1.0,Ridge
283,705,1.0,Ridge
284,706,1.0,Ridge
285,707,1.0,Ridge
286,712,1.0,Ridge
287,713,1.0,Ridge
288,717,1.0,Ridge
289,718,1.0,Ridge
290,721,1.0,Ridge
291,723,1.0,Ridge
292,726,1.0,Ridge
293,731,1.0,Ridge
294,732,1.0,Ridge
295,736,1.0,Ridge
296,737,1.0,Ridge
297,738,1.0,Ridge
298,743,1.0,Ridge
299,747,1.0,Ridge
300,749,1.0,Ridge
301,751,1.0,Ridge
302,757,1.0,Ridge
303,759,1.0,Ridge
304,764,1.0,Ridge
305,766,1.0,Ridge
306,772,1.0,Ridge
307,774,1.0,Ridge
308,777,1.0,Ridge
309,778,1.0,Ridge
310,781,1.0,Ridge
311,785,1.0,Ridge
312,788,1.0,Ridge
313,789,1.0,Ridge
314,790,1.0,Ridge
315,792,1.0,Ridge
316,793,1.0,Ridge
317,795,1.0,Ridge
318,797,1.0,Ridge
319,801,1.0,Ridge
320,803,1.0,Ridge
321,806,1.0,Ridge
322,807,1.0,Ridge
323,808,1.0,Ridge
324,812,1.0,Ridge
325,813,1.0,Ridge
326,814,1.0,Ridge
327,816,1.0,Ridge
328,818,1.0,Ridge
329,828,1.0,Ridge
330,829,1.0,Ridge
331,830,1.0,Ridge
332,831,1.0,Ridge
333,832,1.0,Ridge
334,834,1.0,Ridge
335,835,1.0,Ridge
336,840,1.0,Ridge
337,841,1.0,Ridge
338,842,1.0,Ridge
339,843,1.0,Ridge
340,844,1.0,Ridge
341,846,1.0,Ridge
342,848,1.0,Ridge
343,849,1.0,Ridge
344,850,1.0,Ridge
345,851,1.0,Ridge
346,852,1.0,Ridge
347,853,1.0,Ridge
348,856,1.0,Ridge
349,859,1.0,Ridge
350,860,1.0,Ridge
351,861,1.0,Ridge
352,867,1.0,Ridge
353,869,1.0,Ridge
354,872,1.0,Ridge
355,873,1.0,Ridge
356,876,1.0,Ridge
357,878,1.0,Ridge
358,881,1.0,Ridge
359,883,1.0,Ridge
360,886,1.0,Ridge
361,890,1.0,Ridge
362,898,1.0,Ridge
363,900,1.0,Ridge
364,901,1.0,Ridge
365,902,1.0,Ridge
366,906,1.0,Ridge
367,907,1.0,Ridge
368,908,1.0,Ridge
369,909,1.0,Ridge
370,910,1.0,Ridge
371,912,1.0,Ridge
372,915,1.0,Ridge
373,922,1.0,Ridge
374,924,1.0,Ridge
375,927,1.0,Ridge
376,928,1.0,Ridge
377,930,1.0,Ridge
378,935,1.0,Ridge
379,941,1.0,Ridge
380,944,1.0,Ridge
381,945,1.0,Ridge
382,946,1.0,Ridge
383,947,1.0,Ridge
384,951,1.0,Ridge
385,955,1.0,Ridge
386,958,1.0,Ridge
387,959,1.0,Ridge
388,962,1.0,Ridge
389,963,1.0,Ridge
390,966,1.0,Ridge
391,968,1.0,Ridge
392,971,1.0,Ridge
393,973,1.0,Ridge
394,975,1.0,Ridge
395,980,1.0,Ridge
396,983,1.0,Ridge
397,985,1.0,Ridge
398,987,1.0,Ridge
399,990,1.0,Ridge
400,991,1.0,Ridge
401,993,1.0,Ridge
402,994,1.0,Ridge
403,995,1.0,Ridge
404,998,1.0,Ridge
405,1004,1.0,Ridge
406,1012,1.0,Ridge
407,1013,1.0,Ridge
408,1018,1.0,Ridge
409,1019,1.0,Ridge
410,1021,1.0,Ridge
411,1023,1.0,Ridge
412,1025,1.0,Ridge
413,1027,1.0,Ridge
414,1029,1.0,Ridge
415,1032,1.0,Ridge
416,1035,1.0,Ridge
417,1038,1.0,Ridge
418,1040,1.0,Ridge
419,1043,1.0,Ridge
420,1048,1.0,Ridge
421,1049,1.0,Ridge
422,1050,1.0,Ridge
423,1052,1.0,Ridge
424,1053,1.0,Ridge
425,1054,1.0,Ridge
426,1058,1.0,Ridge
427,1060,1.0,Ridge
428,1062,1.0,Ridge
429,1068,1.0,Ridge
430,1073,1.0,Ridge
431,1076,1.0,Ridge
432,1078,1.0,Ridge
433,1079,1.0,Ridge
