,0, Best Global,Best Classifier
0,0,1.0,LightGBM
1,1,1.0,LightGBM
2,2,1.0,LightGBM
3,3,1.0,LightGBM
4,4,1.0,LightGBM
5,5,1.0,LightGBM
6,8,1.0,LightGBM
7,10,1.0,LightGBM
8,14,1.0,LightGBM
9,15,1.0,LightGBM
10,16,1.0,LightGBM
11,17,1.0,LightGBM
12,18,1.0,LightGBM
13,19,1.0,LightGBM
14,21,1.0,LightGBM
15,22,1.0,LightGBM
16,23,1.0,LightGBM
17,24,1.0,LightGBM
18,27,1.0,LightGBM
19,28,1.0,LightGBM
20,30,1.0,LightGBM
21,31,1.0,LightGBM
22,32,1.0,LightGBM
23,33,1.0,LightGBM
24,35,1.0,LightGBM
25,37,1.0,LightGBM
26,39,1.0,LightGBM
27,40,1.0,LightGBM
28,41,1.0,LightGBM
29,43,1.0,LightGBM
30,46,1.0,LightGBM
31,47,1.0,LightGBM
32,49,1.0,LightGBM
33,52,1.0,LightGBM
34,53,1.0,LightGBM
35,54,1.0,LightGBM
36,55,1.0,LightGBM
37,56,1.0,LightGBM
38,57,1.0,LightGBM
39,58,1.0,LightGBM
40,59,1.0,LightGBM
41,60,1.0,LightGBM
42,61,1.0,LightGBM
43,62,1.0,LightGBM
44,63,1.0,LightGBM
45,67,1.0,LightGBM
46,69,1.0,LightGBM
47,70,1.0,LightGBM
48,71,1.0,LightGBM
49,72,1.0,LightGBM
50,73,1.0,LightGBM
51,75,1.0,LightGBM
52,79,1.0,LightGBM
53,81,1.0,LightGBM
54,82,1.0,LightGBM
55,83,1.0,LightGBM
56,84,1.0,LightGBM
57,85,1.0,LightGBM
58,86,1.0,LightGBM
59,87,1.0,LightGBM
60,88,1.0,LightGBM
61,89,1.0,LightGBM
62,90,1.0,LightGBM
63,91,1.0,LightGBM
64,94,1.0,LightGBM
65,97,1.0,LightGBM
66,98,1.0,LightGBM
67,99,1.0,LightGBM
68,101,1.0,LightGBM
69,102,1.0,LightGBM
70,105,1.0,LightGBM
71,106,1.0,LightGBM
72,108,1.0,LightGBM
73,109,1.0,LightGBM
74,111,1.0,LightGBM
75,112,1.0,LightGBM
76,114,1.0,LightGBM
77,116,1.0,LightGBM
78,118,1.0,LightGBM
79,119,1.0,LightGBM
80,120,1.0,LightGBM
81,121,1.0,LightGBM
82,122,1.0,LightGBM
83,123,1.0,LightGBM
84,126,1.0,LightGBM
85,128,1.0,LightGBM
86,129,1.0,LightGBM
87,131,1.0,LightGBM
88,132,1.0,LightGBM
89,134,1.0,LightGBM
90,136,1.0,LightGBM
91,137,1.0,LightGBM
92,138,1.0,LightGBM
93,140,1.0,LightGBM
94,142,1.0,LightGBM
95,143,1.0,LightGBM
96,144,1.0,LightGBM
97,145,1.0,LightGBM
98,147,1.0,LightGBM
99,148,1.0,LightGBM
100,149,1.0,LightGBM
101,150,1.0,LightGBM
102,153,1.0,LightGBM
103,155,1.0,LightGBM
104,159,1.0,LightGBM
105,160,1.0,LightGBM
106,164,1.0,LightGBM
107,167,1.0,LightGBM
108,170,1.0,LightGBM
109,171,1.0,LightGBM
110,172,1.0,LightGBM
111,173,1.0,LightGBM
112,177,1.0,LightGBM
113,178,1.0,LightGBM
114,179,1.0,LightGBM
115,180,1.0,LightGBM
116,181,1.0,LightGBM
117,182,1.0,LightGBM
118,183,1.0,LightGBM
119,188,1.0,LightGBM
120,189,1.0,LightGBM
121,190,1.0,LightGBM
122,192,1.0,LightGBM
123,193,1.0,LightGBM
124,199,1.0,LightGBM
125,200,1.0,LightGBM
126,201,1.0,LightGBM
127,204,1.0,LightGBM
128,205,1.0,LightGBM
129,208,1.0,LightGBM
130,209,1.0,LightGBM
131,210,1.0,LightGBM
132,213,1.0,LightGBM
133,215,1.0,LightGBM
134,216,1.0,LightGBM
135,217,1.0,LightGBM
136,219,1.0,LightGBM
137,220,1.0,LightGBM
138,221,1.0,LightGBM
139,227,1.0,LightGBM
140,229,1.0,LightGBM
141,230,1.0,LightGBM
142,231,1.0,LightGBM
143,232,1.0,LightGBM
144,234,1.0,LightGBM
145,235,1.0,LightGBM
146,238,1.0,LightGBM
147,239,1.0,LightGBM
148,240,1.0,LightGBM
149,242,1.0,LightGBM
150,244,1.0,LightGBM
151,252,1.0,LightGBM
152,254,1.0,LightGBM
153,255,1.0,LightGBM
154,259,1.0,LightGBM
155,260,1.0,LightGBM
156,262,1.0,LightGBM
157,264,1.0,LightGBM
158,265,1.0,LightGBM
159,267,1.0,LightGBM
160,268,1.0,LightGBM
161,269,1.0,LightGBM
162,270,1.0,LightGBM
163,272,1.0,LightGBM
164,274,1.0,LightGBM
165,275,1.0,LightGBM
166,276,1.0,LightGBM
167,277,1.0,LightGBM
168,278,1.0,LightGBM
169,280,1.0,LightGBM
170,281,1.0,LightGBM
171,282,1.0,LightGBM
172,283,1.0,LightGBM
173,284,1.0,LightGBM
174,286,1.0,LightGBM
175,287,1.0,LightGBM
176,288,1.0,LightGBM
177,289,1.0,LightGBM
178,290,1.0,LightGBM
179,291,1.0,LightGBM
180,293,1.0,LightGBM
181,297,1.0,LightGBM
182,298,1.0,LightGBM
183,299,1.0,LightGBM
184,300,1.0,LightGBM
185,301,1.0,LightGBM
186,303,1.0,LightGBM
187,304,1.0,LightGBM
188,305,1.0,LightGBM
189,307,1.0,LightGBM
190,308,1.0,LightGBM
191,309,1.0,LightGBM
192,310,1.0,LightGBM
193,311,1.0,LightGBM
194,312,1.0,LightGBM
195,317,1.0,LightGBM
196,318,1.0,LightGBM
197,320,1.0,LightGBM
198,322,1.0,LightGBM
199,325,1.0,LightGBM
200,328,1.0,LightGBM
201,331,1.0,LightGBM
202,332,1.0,LightGBM
203,333,1.0,LightGBM
204,335,1.0,LightGBM
205,336,1.0,LightGBM
206,337,1.0,LightGBM
207,338,1.0,LightGBM
208,340,1.0,LightGBM
209,341,1.0,LightGBM
210,342,1.0,LightGBM
211,343,1.0,LightGBM
212,345,1.0,LightGBM
213,346,1.0,LightGBM
214,347,1.0,LightGBM
215,349,1.0,LightGBM
216,351,1.0,LightGBM
217,353,1.0,LightGBM
218,354,1.0,LightGBM
219,355,1.0,LightGBM
220,356,1.0,LightGBM
221,357,1.0,LightGBM
222,358,1.0,LightGBM
223,359,1.0,LightGBM
224,360,1.0,LightGBM
225,361,1.0,LightGBM
226,362,1.0,LightGBM
227,364,1.0,LightGBM
228,365,1.0,LightGBM
229,366,1.0,LightGBM
230,368,1.0,LightGBM
231,370,1.0,LightGBM
232,371,1.0,LightGBM
233,372,1.0,LightGBM
234,373,1.0,LightGBM
235,374,1.0,LightGBM
236,375,1.0,LightGBM
237,376,1.0,LightGBM
238,377,1.0,LightGBM
239,378,1.0,LightGBM
240,379,1.0,LightGBM
241,382,1.0,LightGBM
242,383,1.0,LightGBM
243,384,1.0,LightGBM
244,386,1.0,LightGBM
245,387,1.0,LightGBM
246,389,1.0,LightGBM
247,392,1.0,LightGBM
248,395,1.0,LightGBM
249,396,1.0,LightGBM
250,400,1.0,LightGBM
251,404,1.0,LightGBM
252,406,1.0,LightGBM
253,409,1.0,LightGBM
254,412,1.0,LightGBM
255,413,1.0,LightGBM
256,414,1.0,LightGBM
257,415,1.0,LightGBM
258,416,1.0,LightGBM
259,417,1.0,LightGBM
260,418,1.0,LightGBM
261,420,1.0,LightGBM
262,421,1.0,LightGBM
263,422,1.0,LightGBM
264,423,1.0,LightGBM
265,427,1.0,LightGBM
266,428,1.0,LightGBM
267,429,1.0,LightGBM
268,432,1.0,LightGBM
269,433,1.0,LightGBM
270,436,1.0,LightGBM
271,437,1.0,LightGBM
272,438,1.0,LightGBM
273,440,1.0,LightGBM
274,441,1.0,LightGBM
275,443,1.0,LightGBM
276,445,1.0,LightGBM
277,446,1.0,LightGBM
278,447,1.0,LightGBM
279,449,1.0,LightGBM
280,450,1.0,LightGBM
281,452,1.0,LightGBM
282,453,1.0,LightGBM
283,455,1.0,LightGBM
284,457,1.0,LightGBM
285,458,1.0,LightGBM
286,459,1.0,LightGBM
287,460,1.0,LightGBM
288,461,1.0,LightGBM
289,462,1.0,LightGBM
290,464,1.0,LightGBM
291,465,1.0,LightGBM
292,466,1.0,LightGBM
293,467,1.0,LightGBM
294,468,1.0,LightGBM
295,470,1.0,LightGBM
296,471,1.0,LightGBM
297,473,1.0,LightGBM
298,474,1.0,LightGBM
299,475,1.0,LightGBM
300,477,1.0,LightGBM
301,478,1.0,LightGBM
302,479,1.0,LightGBM
303,482,1.0,LightGBM
304,483,1.0,LightGBM
305,484,1.0,LightGBM
306,486,1.0,LightGBM
307,488,1.0,LightGBM
308,490,1.0,LightGBM
309,491,1.0,LightGBM
310,492,1.0,LightGBM
311,494,1.0,LightGBM
312,495,1.0,LightGBM
313,500,1.0,LightGBM
314,501,1.0,LightGBM
315,503,1.0,LightGBM
316,504,1.0,LightGBM
317,505,1.0,LightGBM
318,506,1.0,LightGBM
319,508,1.0,LightGBM
320,509,1.0,LightGBM
321,512,1.0,LightGBM
322,514,1.0,LightGBM
323,515,1.0,LightGBM
324,519,1.0,LightGBM
325,520,1.0,LightGBM
326,523,1.0,LightGBM
327,524,1.0,LightGBM
328,525,1.0,LightGBM
329,527,1.0,LightGBM
330,528,1.0,LightGBM
331,529,1.0,LightGBM
332,530,1.0,LightGBM
333,531,1.0,LightGBM
334,532,1.0,LightGBM
335,534,1.0,LightGBM
336,535,1.0,LightGBM
337,538,1.0,LightGBM
338,542,1.0,LightGBM
339,543,1.0,LightGBM
340,546,1.0,LightGBM
341,550,1.0,LightGBM
342,551,1.0,LightGBM
343,552,1.0,LightGBM
344,553,1.0,LightGBM
345,554,1.0,LightGBM
346,555,1.0,LightGBM
347,556,1.0,LightGBM
348,557,1.0,LightGBM
349,558,1.0,LightGBM
350,559,1.0,LightGBM
351,561,1.0,LightGBM
352,563,1.0,LightGBM
353,564,1.0,LightGBM
354,567,1.0,LightGBM
355,570,1.0,LightGBM
356,571,1.0,LightGBM
357,572,1.0,LightGBM
358,573,1.0,LightGBM
359,574,1.0,LightGBM
360,575,1.0,LightGBM
361,577,1.0,LightGBM
362,579,1.0,LightGBM
363,580,1.0,LightGBM
364,584,1.0,LightGBM
365,588,1.0,LightGBM
366,589,1.0,LightGBM
367,591,1.0,LightGBM
368,592,1.0,LightGBM
369,594,1.0,LightGBM
370,597,1.0,LightGBM
371,598,1.0,LightGBM
372,599,1.0,LightGBM
373,603,1.0,LightGBM
374,604,1.0,LightGBM
375,605,1.0,LightGBM
376,606,1.0,LightGBM
377,607,1.0,LightGBM
378,608,1.0,LightGBM
379,609,1.0,LightGBM
380,612,1.0,LightGBM
381,614,1.0,LightGBM
382,615,1.0,LightGBM
383,616,1.0,LightGBM
384,617,1.0,LightGBM
385,618,1.0,LightGBM
386,620,1.0,LightGBM
387,622,1.0,LightGBM
388,623,1.0,LightGBM
389,624,1.0,LightGBM
390,626,1.0,LightGBM
391,629,1.0,LightGBM
392,630,1.0,LightGBM
393,631,1.0,LightGBM
394,632,1.0,LightGBM
395,633,1.0,LightGBM
396,637,1.0,LightGBM
397,638,1.0,LightGBM
398,639,1.0,LightGBM
399,640,1.0,LightGBM
400,641,1.0,LightGBM
401,642,1.0,LightGBM
402,643,1.0,LightGBM
403,645,1.0,LightGBM
404,647,1.0,LightGBM
405,648,1.0,LightGBM
406,649,1.0,LightGBM
407,650,1.0,LightGBM
408,651,1.0,LightGBM
409,654,1.0,LightGBM
410,655,1.0,LightGBM
411,656,1.0,LightGBM
412,661,1.0,LightGBM
413,662,1.0,LightGBM
414,663,1.0,LightGBM
415,665,1.0,LightGBM
416,666,1.0,LightGBM
417,670,1.0,LightGBM
418,671,1.0,LightGBM
419,673,1.0,LightGBM
420,674,1.0,LightGBM
421,675,1.0,LightGBM
422,676,1.0,LightGBM
423,679,1.0,LightGBM
424,680,1.0,LightGBM
425,681,1.0,LightGBM
426,682,1.0,LightGBM
427,683,1.0,LightGBM
428,684,1.0,LightGBM
429,685,1.0,LightGBM
430,686,1.0,LightGBM
431,688,1.0,LightGBM
432,689,1.0,LightGBM
433,690,1.0,LightGBM
434,692,1.0,LightGBM
435,693,1.0,LightGBM
436,695,1.0,LightGBM
437,696,1.0,LightGBM
438,697,1.0,LightGBM
439,698,1.0,LightGBM
440,699,1.0,LightGBM
441,700,1.0,LightGBM
442,701,1.0,LightGBM
443,703,1.0,LightGBM
444,704,1.0,LightGBM
445,705,1.0,LightGBM
446,706,1.0,LightGBM
447,707,1.0,LightGBM
448,708,1.0,LightGBM
449,709,1.0,LightGBM
450,710,1.0,LightGBM
451,711,1.0,LightGBM
452,716,1.0,LightGBM
453,719,1.0,LightGBM
454,720,1.0,LightGBM
455,721,1.0,LightGBM
456,723,1.0,LightGBM
457,724,1.0,LightGBM
458,725,1.0,LightGBM
459,727,1.0,LightGBM
460,728,1.0,LightGBM
461,729,1.0,LightGBM
462,730,1.0,LightGBM
463,732,1.0,LightGBM
464,733,1.0,LightGBM
465,740,1.0,LightGBM
466,741,1.0,LightGBM
467,742,1.0,LightGBM
468,745,1.0,LightGBM
469,746,1.0,LightGBM
470,747,1.0,LightGBM
471,748,1.0,LightGBM
472,750,1.0,LightGBM
473,751,1.0,LightGBM
474,754,1.0,LightGBM
475,755,1.0,LightGBM
476,758,1.0,LightGBM
477,759,1.0,LightGBM
478,760,1.0,LightGBM
479,761,1.0,LightGBM
480,762,1.0,LightGBM
481,765,1.0,LightGBM
482,766,1.0,LightGBM
483,768,1.0,LightGBM
484,769,1.0,LightGBM
485,770,1.0,LightGBM
486,772,1.0,LightGBM
487,774,1.0,LightGBM
488,775,1.0,LightGBM
489,776,1.0,LightGBM
490,777,1.0,LightGBM
491,778,1.0,LightGBM
492,779,1.0,LightGBM
493,780,1.0,LightGBM
494,781,1.0,LightGBM
495,782,1.0,LightGBM
496,783,1.0,LightGBM
497,785,1.0,LightGBM
498,788,1.0,LightGBM
499,789,1.0,LightGBM
500,790,1.0,LightGBM
501,791,1.0,LightGBM
502,793,1.0,LightGBM
503,795,1.0,LightGBM
504,796,1.0,LightGBM
505,797,1.0,LightGBM
506,799,1.0,LightGBM
507,803,1.0,LightGBM
508,804,1.0,LightGBM
509,807,1.0,LightGBM
510,808,1.0,LightGBM
511,809,1.0,LightGBM
512,810,1.0,LightGBM
513,811,1.0,LightGBM
514,812,1.0,LightGBM
515,813,1.0,LightGBM
516,815,1.0,LightGBM
517,818,1.0,LightGBM
518,819,1.0,LightGBM
519,820,1.0,LightGBM
520,821,1.0,LightGBM
521,824,1.0,LightGBM
522,825,1.0,LightGBM
523,827,1.0,LightGBM
524,829,1.0,LightGBM
525,831,1.0,LightGBM
526,832,1.0,LightGBM
527,833,1.0,LightGBM
528,834,1.0,LightGBM
529,835,1.0,LightGBM
530,837,1.0,LightGBM
531,838,1.0,LightGBM
532,839,1.0,LightGBM
533,841,1.0,LightGBM
534,842,1.0,LightGBM
535,843,1.0,LightGBM
536,844,1.0,LightGBM
537,845,1.0,LightGBM
538,846,1.0,LightGBM
539,847,1.0,LightGBM
540,848,1.0,LightGBM
541,849,1.0,LightGBM
542,852,1.0,LightGBM
543,854,1.0,LightGBM
544,857,1.0,LightGBM
545,858,1.0,LightGBM
546,859,1.0,LightGBM
547,861,1.0,LightGBM
548,863,1.0,LightGBM
549,864,1.0,LightGBM
550,865,1.0,LightGBM
551,866,1.0,LightGBM
552,867,1.0,LightGBM
553,869,1.0,LightGBM
554,871,1.0,LightGBM
555,874,1.0,LightGBM
556,875,1.0,LightGBM
557,876,1.0,LightGBM
558,877,1.0,LightGBM
559,878,1.0,LightGBM
560,879,1.0,LightGBM
561,880,1.0,LightGBM
562,881,1.0,LightGBM
563,882,1.0,LightGBM
564,883,1.0,LightGBM
565,884,1.0,LightGBM
566,885,1.0,LightGBM
567,886,1.0,LightGBM
568,887,1.0,LightGBM
569,889,1.0,LightGBM
570,890,1.0,LightGBM
571,891,1.0,LightGBM
572,893,1.0,LightGBM
573,895,1.0,LightGBM
574,896,1.0,LightGBM
575,897,1.0,LightGBM
576,898,1.0,LightGBM
577,900,1.0,LightGBM
578,902,1.0,LightGBM
579,903,1.0,LightGBM
580,906,1.0,LightGBM
581,907,1.0,LightGBM
582,909,1.0,LightGBM
583,912,1.0,LightGBM
584,913,1.0,LightGBM
585,916,1.0,LightGBM
586,917,1.0,LightGBM
587,921,1.0,LightGBM
588,922,1.0,LightGBM
589,923,1.0,LightGBM
590,924,1.0,LightGBM
591,925,1.0,LightGBM
592,926,1.0,LightGBM
593,928,1.0,LightGBM
594,931,1.0,LightGBM
595,932,1.0,LightGBM
596,933,1.0,LightGBM
597,935,1.0,LightGBM
598,936,1.0,LightGBM
599,938,1.0,LightGBM
600,940,1.0,LightGBM
601,941,1.0,LightGBM
602,942,1.0,LightGBM
603,943,1.0,LightGBM
604,945,1.0,LightGBM
605,947,1.0,LightGBM
606,949,1.0,LightGBM
607,950,1.0,LightGBM
608,951,1.0,LightGBM
609,952,1.0,LightGBM
610,953,1.0,LightGBM
611,955,1.0,LightGBM
612,957,1.0,LightGBM
613,959,1.0,LightGBM
614,961,1.0,LightGBM
615,962,1.0,LightGBM
616,964,1.0,LightGBM
617,965,1.0,LightGBM
618,966,1.0,LightGBM
619,967,1.0,LightGBM
620,969,1.0,LightGBM
621,970,1.0,LightGBM
622,973,1.0,LightGBM
623,974,1.0,LightGBM
624,975,1.0,LightGBM
625,976,1.0,LightGBM
626,977,1.0,LightGBM
627,978,1.0,LightGBM
628,982,1.0,LightGBM
629,985,1.0,LightGBM
630,987,1.0,LightGBM
631,988,1.0,LightGBM
632,989,1.0,LightGBM
633,990,1.0,LightGBM
634,991,1.0,LightGBM
635,992,1.0,LightGBM
636,993,1.0,LightGBM
637,994,1.0,LightGBM
638,995,1.0,LightGBM
639,996,1.0,LightGBM
640,997,1.0,LightGBM
641,998,1.0,LightGBM
642,999,1.0,LightGBM
643,1000,1.0,LightGBM
644,1001,1.0,LightGBM
645,1004,1.0,LightGBM
646,1010,1.0,LightGBM
647,1013,1.0,LightGBM
648,1015,1.0,LightGBM
649,1017,1.0,LightGBM
650,1018,1.0,LightGBM
651,1020,1.0,LightGBM
652,1021,1.0,LightGBM
653,1022,1.0,LightGBM
654,1024,1.0,LightGBM
655,1026,1.0,LightGBM
656,1027,1.0,LightGBM
657,1028,1.0,LightGBM
658,1029,1.0,LightGBM
659,1031,1.0,LightGBM
660,1032,1.0,LightGBM
661,1033,1.0,LightGBM
662,1034,1.0,LightGBM
663,1035,1.0,LightGBM
664,1036,1.0,LightGBM
665,1037,1.0,LightGBM
666,1038,1.0,LightGBM
667,1039,1.0,LightGBM
668,1040,1.0,LightGBM
669,1042,1.0,LightGBM
670,1043,1.0,LightGBM
671,1044,1.0,LightGBM
672,1045,1.0,LightGBM
673,1046,1.0,LightGBM
674,1047,1.0,LightGBM
675,1048,1.0,LightGBM
676,1050,1.0,LightGBM
677,1052,1.0,LightGBM
678,1054,1.0,LightGBM
679,1055,1.0,LightGBM
680,1056,1.0,LightGBM
681,1057,1.0,LightGBM
682,1058,1.0,LightGBM
683,1059,1.0,LightGBM
684,1060,1.0,LightGBM
685,1061,1.0,LightGBM
686,1062,1.0,LightGBM
687,1063,1.0,LightGBM
688,1064,1.0,LightGBM
689,1065,1.0,LightGBM
690,1066,1.0,LightGBM
691,1068,1.0,LightGBM
692,1069,1.0,LightGBM
693,1071,1.0,LightGBM
694,1072,1.0,LightGBM
695,1073,1.0,LightGBM
696,1075,1.0,LightGBM
697,1078,1.0,LightGBM
698,1079,1.0,LightGBM
699,1083,1.0,LightGBM
700,1084,1.0,LightGBM
701,1088,1.0,LightGBM
702,1089,1.0,LightGBM
703,1090,1.0,LightGBM
704,1091,1.0,LightGBM
705,1093,1.0,LightGBM
706,1094,1.0,LightGBM
707,1095,1.0,LightGBM
708,1096,1.0,LightGBM
709,1097,1.0,LightGBM
710,1098,1.0,LightGBM
711,1099,1.0,LightGBM
712,1100,1.0,LightGBM
713,1101,1.0,LightGBM
714,1102,1.0,LightGBM
715,1104,1.0,LightGBM
716,1105,1.0,LightGBM
717,1107,1.0,LightGBM
718,1112,1.0,LightGBM
719,1113,1.0,LightGBM
720,1114,1.0,LightGBM
721,1116,1.0,LightGBM
722,1117,1.0,LightGBM
723,1118,1.0,LightGBM
724,1119,1.0,LightGBM
725,1122,1.0,LightGBM
726,1123,1.0,LightGBM
727,1124,1.0,LightGBM
728,1125,1.0,LightGBM
729,1126,1.0,LightGBM
730,1127,1.0,LightGBM
731,1128,1.0,LightGBM
732,1129,1.0,LightGBM
733,1130,1.0,LightGBM
734,1131,1.0,LightGBM
735,1132,1.0,LightGBM
736,1134,1.0,LightGBM
737,1135,1.0,LightGBM
738,1136,1.0,LightGBM
739,1137,1.0,LightGBM
740,1138,1.0,LightGBM
741,1140,1.0,LightGBM
742,1141,1.0,LightGBM
743,1142,1.0,LightGBM
744,1143,1.0,LightGBM
745,1144,1.0,LightGBM
746,1146,1.0,LightGBM
747,1147,1.0,LightGBM
748,1149,1.0,LightGBM
749,1150,1.0,LightGBM
750,1151,1.0,LightGBM
751,1153,1.0,LightGBM
752,1154,1.0,LightGBM
753,1160,1.0,LightGBM
754,1161,1.0,LightGBM
755,1162,1.0,LightGBM
756,1163,1.0,LightGBM
757,1164,1.0,LightGBM
758,1165,1.0,LightGBM
759,1166,1.0,LightGBM
760,1167,1.0,LightGBM
761,1168,1.0,LightGBM
762,1172,1.0,LightGBM
763,1175,1.0,LightGBM
764,1176,1.0,LightGBM
765,1177,1.0,LightGBM
766,1178,1.0,LightGBM
767,1181,1.0,LightGBM
768,1182,1.0,LightGBM
769,1183,1.0,LightGBM
770,1185,1.0,LightGBM
771,1187,1.0,LightGBM
772,1190,1.0,LightGBM
773,1193,1.0,LightGBM
774,1194,1.0,LightGBM
775,1196,1.0,LightGBM
776,1197,1.0,LightGBM
777,1199,1.0,LightGBM
778,1200,1.0,LightGBM
779,1201,1.0,LightGBM
780,1202,1.0,LightGBM
781,1203,1.0,LightGBM
782,1205,1.0,LightGBM
783,1208,1.0,LightGBM
784,1209,1.0,LightGBM
785,1210,1.0,LightGBM
786,1213,1.0,LightGBM
787,1214,1.0,LightGBM
788,1215,1.0,LightGBM
789,1216,1.0,LightGBM
790,1217,1.0,LightGBM
791,1221,1.0,LightGBM
792,1222,1.0,LightGBM
793,1223,1.0,LightGBM
794,1224,1.0,LightGBM
795,1226,1.0,LightGBM
796,1228,1.0,LightGBM
797,1229,1.0,LightGBM
798,1230,1.0,LightGBM
799,1231,1.0,LightGBM
800,1232,1.0,LightGBM
801,1235,1.0,LightGBM
802,1236,1.0,LightGBM
803,1238,1.0,LightGBM
804,1241,1.0,LightGBM
805,1242,1.0,LightGBM
806,1244,1.0,LightGBM
807,1245,1.0,LightGBM
808,1246,1.0,LightGBM
809,1248,1.0,LightGBM
810,1249,1.0,LightGBM
811,1250,1.0,LightGBM
812,1251,1.0,LightGBM
813,1252,1.0,LightGBM
814,1255,1.0,LightGBM
815,1257,1.0,LightGBM
816,1258,1.0,LightGBM
817,1259,1.0,LightGBM
818,1260,1.0,LightGBM
819,1261,1.0,LightGBM
820,1262,1.0,LightGBM
821,1267,1.0,LightGBM
822,1269,1.0,LightGBM
823,1270,1.0,LightGBM
824,1271,1.0,LightGBM
825,1272,1.0,LightGBM
826,1274,1.0,LightGBM
827,1275,1.0,LightGBM
828,1277,1.0,LightGBM
829,1280,1.0,LightGBM
830,1284,1.0,LightGBM
831,1285,1.0,LightGBM
832,1286,1.0,LightGBM
833,1287,1.0,LightGBM
834,1289,1.0,LightGBM
835,1290,1.0,LightGBM
836,1291,1.0,LightGBM
837,1292,1.0,LightGBM
838,1293,1.0,LightGBM
