,0, Best Global,Best Classifier
0,1,1.0,Ridge
1,5,1.0,Ridge
2,6,1.0,Ridge
3,9,1.0,Ridge
4,12,1.0,Ridge
5,13,1.0,Ridge
6,15,1.0,Ridge
7,17,1.0,Ridge
8,19,1.0,Ridge
9,21,1.0,Ridge
10,27,1.0,Ridge
11,28,1.0,Ridge
12,29,1.0,Ridge
13,30,1.0,Ridge
14,33,1.0,Ridge
15,34,1.0,Ridge
16,35,1.0,Ridge
17,36,1.0,Ridge
18,38,1.0,Ridge
19,39,1.0,Ridge
20,40,1.0,Ridge
21,41,1.0,Ridge
22,42,1.0,Ridge
23,46,1.0,Ridge
24,48,1.0,Ridge
25,51,1.0,Ridge
26,52,1.0,Ridge
27,53,1.0,Ridge
28,55,1.0,Ridge
29,56,1.0,Ridge
30,57,1.0,Ridge
31,60,1.0,Ridge
32,62,1.0,Ridge
33,63,1.0,Ridge
34,65,1.0,Ridge
35,66,1.0,Ridge
36,68,1.0,Ridge
37,69,1.0,Ridge
38,71,1.0,Ridge
39,72,1.0,Ridge
40,81,1.0,Ridge
41,83,1.0,Ridge
42,87,1.0,Ridge
43,88,1.0,Ridge
44,89,1.0,Ridge
45,90,1.0,Ridge
46,91,1.0,Ridge
47,94,1.0,Ridge
48,98,1.0,Ridge
49,100,1.0,Ridge
50,101,1.0,Ridge
51,102,1.0,Ridge
52,106,1.0,Ridge
53,108,1.0,Ridge
54,112,1.0,Ridge
55,113,1.0,Ridge
56,118,1.0,Ridge
57,120,1.0,Ridge
58,121,1.0,Ridge
59,126,1.0,Ridge
60,128,1.0,Ridge
61,129,1.0,Ridge
62,132,1.0,Ridge
63,133,1.0,Ridge
64,134,1.0,Ridge
65,135,1.0,Ridge
66,136,1.0,Ridge
67,141,1.0,Ridge
68,143,1.0,Ridge
69,146,1.0,Ridge
70,147,1.0,Ridge
71,154,1.0,Ridge
72,155,1.0,Ridge
73,157,1.0,Ridge
74,158,1.0,Ridge
75,159,1.0,Ridge
76,160,1.0,Ridge
77,161,1.0,Ridge
78,166,1.0,Ridge
79,168,1.0,Ridge
80,171,1.0,Ridge
81,174,1.0,Ridge
82,175,1.0,Ridge
83,176,1.0,Ridge
84,179,1.0,Ridge
85,180,1.0,Ridge
86,181,1.0,Ridge
87,183,1.0,Ridge
88,189,1.0,Ridge
89,191,1.0,Ridge
90,192,1.0,Ridge
91,193,1.0,Ridge
92,195,1.0,Ridge
93,197,1.0,Ridge
94,200,1.0,Ridge
95,201,1.0,Ridge
96,202,1.0,Ridge
97,203,1.0,Ridge
98,205,1.0,Ridge
99,206,1.0,Ridge
100,207,1.0,Ridge
101,208,1.0,Ridge
102,209,1.0,Ridge
103,211,1.0,Ridge
104,213,1.0,Ridge
105,214,1.0,Ridge
106,215,1.0,Ridge
107,217,1.0,Ridge
108,220,1.0,Ridge
109,221,1.0,Ridge
110,222,1.0,Ridge
111,224,1.0,Ridge
112,225,1.0,Ridge
113,228,1.0,Ridge
114,230,1.0,Ridge
115,232,1.0,Ridge
116,234,1.0,Ridge
117,235,1.0,Ridge
118,236,1.0,Ridge
119,241,1.0,Ridge
120,243,1.0,Ridge
121,249,1.0,Ridge
122,251,1.0,Ridge
123,255,1.0,Ridge
124,258,1.0,Ridge
125,261,1.0,Ridge
126,262,1.0,Ridge
127,263,1.0,Ridge
128,264,1.0,Ridge
129,266,1.0,Ridge
130,270,1.0,Ridge
131,271,1.0,Ridge
132,272,1.0,Ridge
133,274,1.0,Ridge
134,275,1.0,Ridge
135,277,1.0,Ridge
136,279,1.0,Ridge
137,281,1.0,Ridge
138,282,1.0,Ridge
139,286,1.0,Ridge
140,289,1.0,Ridge
141,298,1.0,Ridge
142,300,1.0,Ridge
143,301,1.0,Ridge
144,303,1.0,Ridge
145,305,1.0,Ridge
146,307,1.0,Ridge
147,308,1.0,Ridge
148,309,1.0,Ridge
149,312,1.0,Ridge
150,315,1.0,Ridge
151,319,1.0,Ridge
152,320,1.0,Ridge
153,322,1.0,Ridge
154,324,1.0,Ridge
155,325,1.0,Ridge
156,327,1.0,Ridge
157,328,1.0,Ridge
158,329,1.0,Ridge
159,332,1.0,Ridge
160,333,1.0,Ridge
161,334,1.0,Ridge
162,336,1.0,Ridge
163,337,1.0,Ridge
164,339,1.0,Ridge
165,340,1.0,Ridge
166,342,1.0,Ridge
167,345,1.0,Ridge
168,350,1.0,Ridge
169,354,1.0,Ridge
170,355,1.0,Ridge
171,356,1.0,Ridge
172,358,1.0,Ridge
173,361,1.0,Ridge
174,363,1.0,Ridge
175,364,1.0,Ridge
176,365,1.0,Ridge
177,366,1.0,Ridge
178,367,1.0,Ridge
179,368,1.0,Ridge
180,370,1.0,Ridge
181,373,1.0,Ridge
182,375,1.0,Ridge
183,376,1.0,Ridge
184,377,1.0,Ridge
185,378,1.0,Ridge
186,379,1.0,Ridge
187,380,1.0,Ridge
188,381,1.0,Ridge
189,382,1.0,Ridge
190,385,1.0,Ridge
191,387,1.0,Ridge
192,388,1.0,Ridge
193,391,1.0,Ridge
194,392,1.0,Ridge
195,396,1.0,Ridge
196,397,1.0,Ridge
197,399,1.0,Ridge
198,402,1.0,Ridge
199,404,1.0,Ridge
200,405,1.0,Ridge
201,406,1.0,Ridge
202,407,1.0,Ridge
203,409,1.0,Ridge
204,410,1.0,Ridge
205,411,1.0,Ridge
206,412,1.0,Ridge
207,414,1.0,Ridge
208,421,1.0,Ridge
209,422,1.0,Ridge
210,423,1.0,Ridge
211,424,1.0,Ridge
212,427,1.0,Ridge
213,429,1.0,Ridge
214,430,1.0,Ridge
215,431,1.0,Ridge
216,432,1.0,Ridge
217,437,1.0,Ridge
218,441,1.0,Ridge
219,442,1.0,Ridge
220,445,1.0,Ridge
221,448,1.0,Ridge
222,449,1.0,Ridge
223,455,1.0,Ridge
224,459,1.0,Ridge
225,463,1.0,Ridge
226,465,1.0,Ridge
227,470,1.0,Ridge
228,472,1.0,Ridge
229,474,1.0,Ridge
230,475,1.0,Ridge
231,476,1.0,Ridge
232,478,1.0,Ridge
233,481,1.0,Ridge
234,483,1.0,Ridge
235,484,1.0,Ridge
236,485,1.0,Ridge
237,486,1.0,Ridge
238,490,1.0,Ridge
239,491,1.0,Ridge
240,492,1.0,Ridge
241,493,1.0,Ridge
242,494,1.0,Ridge
243,496,1.0,Ridge
244,500,1.0,Ridge
245,502,1.0,Ridge
246,503,1.0,Ridge
247,504,1.0,Ridge
248,505,1.0,Ridge
249,507,1.0,Ridge
250,509,1.0,Ridge
251,510,1.0,Ridge
252,511,1.0,Ridge
253,512,1.0,Ridge
254,514,1.0,Ridge
255,516,1.0,Ridge
256,519,1.0,Ridge
257,521,1.0,Ridge
258,522,1.0,Ridge
259,523,1.0,Ridge
260,524,1.0,Ridge
261,526,1.0,Ridge
262,532,1.0,Ridge
263,535,1.0,Ridge
264,539,1.0,Ridge
265,540,1.0,Ridge
266,541,1.0,Ridge
267,546,1.0,Ridge
268,549,1.0,Ridge
269,550,1.0,Ridge
270,552,1.0,Ridge
271,553,1.0,Ridge
272,555,1.0,Ridge
273,559,1.0,Ridge
274,560,1.0,Ridge
275,562,1.0,Ridge
276,563,1.0,Ridge
277,564,1.0,Ridge
278,567,1.0,Ridge
279,569,1.0,Ridge
280,570,1.0,Ridge
281,574,1.0,Ridge
282,575,1.0,Ridge
283,578,1.0,Ridge
284,580,1.0,Ridge
285,581,1.0,Ridge
286,583,1.0,Ridge
287,584,1.0,Ridge
288,585,1.0,Ridge
289,586,1.0,Ridge
290,588,1.0,Ridge
291,589,1.0,Ridge
292,591,1.0,Ridge
293,592,1.0,Ridge
294,593,1.0,Ridge
295,598,1.0,Ridge
296,600,1.0,Ridge
297,604,1.0,Ridge
298,606,1.0,Ridge
299,609,1.0,Ridge
300,614,1.0,Ridge
301,615,1.0,Ridge
302,617,1.0,Ridge
303,618,1.0,Ridge
304,619,1.0,Ridge
305,622,1.0,Ridge
306,624,1.0,Ridge
307,625,1.0,Ridge
308,626,1.0,Ridge
309,627,1.0,Ridge
310,628,1.0,Ridge
311,629,1.0,Ridge
312,630,1.0,Ridge
313,631,1.0,Ridge
314,632,1.0,Ridge
315,634,1.0,Ridge
316,635,1.0,Ridge
317,637,1.0,Ridge
318,638,1.0,Ridge
319,640,1.0,Ridge
320,641,1.0,Ridge
321,642,1.0,Ridge
322,643,1.0,Ridge
323,644,1.0,Ridge
324,645,1.0,Ridge
325,646,1.0,Ridge
326,647,1.0,Ridge
327,649,1.0,Ridge
328,650,1.0,Ridge
329,652,1.0,Ridge
330,653,1.0,Ridge
331,654,1.0,Ridge
332,656,1.0,Ridge
333,658,1.0,Ridge
334,659,1.0,Ridge
335,660,1.0,Ridge
336,662,1.0,Ridge
337,668,1.0,Ridge
338,669,1.0,Ridge
339,672,1.0,Ridge
340,677,1.0,Ridge
341,678,1.0,Ridge
342,680,1.0,Ridge
343,683,1.0,Ridge
344,686,1.0,Ridge
345,687,1.0,Ridge
346,688,1.0,Ridge
347,690,1.0,Ridge
348,691,1.0,Ridge
349,693,1.0,Ridge
350,696,1.0,Ridge
351,697,1.0,Ridge
352,698,1.0,Ridge
353,700,1.0,Ridge
354,701,1.0,Ridge
355,702,1.0,Ridge
356,703,1.0,Ridge
357,707,1.0,Ridge
358,708,1.0,Ridge
359,710,1.0,Ridge
360,711,1.0,Ridge
361,712,1.0,Ridge
362,713,1.0,Ridge
363,714,1.0,Ridge
364,715,1.0,Ridge
365,716,1.0,Ridge
366,717,1.0,Ridge
367,718,1.0,Ridge
368,719,1.0,Ridge
369,721,1.0,Ridge
370,727,1.0,Ridge
371,730,1.0,Ridge
372,731,1.0,Ridge
373,732,1.0,Ridge
374,733,1.0,Ridge
375,734,1.0,Ridge
376,735,1.0,Ridge
377,736,1.0,Ridge
378,737,1.0,Ridge
379,740,1.0,Ridge
380,741,1.0,Ridge
381,742,1.0,Ridge
382,744,1.0,Ridge
383,746,1.0,Ridge
384,748,1.0,Ridge
385,752,1.0,Ridge
386,756,1.0,Ridge
387,758,1.0,Ridge
388,759,1.0,Ridge
389,761,1.0,Ridge
390,763,1.0,Ridge
391,764,1.0,Ridge
392,767,1.0,Ridge
393,769,1.0,Ridge
394,774,1.0,Ridge
395,776,1.0,Ridge
396,777,1.0,Ridge
397,778,1.0,Ridge
398,779,1.0,Ridge
399,780,1.0,Ridge
400,781,1.0,Ridge
401,783,1.0,Ridge
402,788,1.0,Ridge
403,789,1.0,Ridge
404,790,1.0,Ridge
405,791,1.0,Ridge
406,792,1.0,Ridge
407,795,1.0,Ridge
408,796,1.0,Ridge
409,800,1.0,Ridge
410,801,1.0,Ridge
411,804,1.0,Ridge
412,807,1.0,Ridge
413,814,1.0,Ridge
414,816,1.0,Ridge
415,819,1.0,Ridge
416,821,1.0,Ridge
417,823,1.0,Ridge
418,826,1.0,Ridge
419,827,1.0,Ridge
420,828,1.0,Ridge
421,832,1.0,Ridge
422,834,1.0,Ridge
423,835,1.0,Ridge
424,838,1.0,Ridge
425,839,1.0,Ridge
426,840,1.0,Ridge
427,842,1.0,Ridge
428,844,1.0,Ridge
429,846,1.0,Ridge
430,849,1.0,Ridge
431,850,1.0,Ridge
432,851,1.0,Ridge
433,852,1.0,Ridge
434,853,1.0,Ridge
435,856,1.0,Ridge
436,858,1.0,Ridge
437,862,1.0,Ridge
438,863,1.0,Ridge
439,864,1.0,Ridge
440,865,1.0,Ridge
441,868,1.0,Ridge
442,869,1.0,Ridge
443,870,1.0,Ridge
444,872,1.0,Ridge
445,873,1.0,Ridge
446,875,1.0,Ridge
447,878,1.0,Ridge
448,879,1.0,Ridge
449,880,1.0,Ridge
450,882,1.0,Ridge
451,884,1.0,Ridge
452,887,1.0,Ridge
453,888,1.0,Ridge
454,890,1.0,Ridge
455,891,1.0,Ridge
456,892,1.0,Ridge
457,893,1.0,Ridge
458,894,1.0,Ridge
459,895,1.0,Ridge
460,899,1.0,Ridge
461,900,1.0,Ridge
462,901,1.0,Ridge
463,902,1.0,Ridge
464,904,1.0,Ridge
465,905,1.0,Ridge
466,910,1.0,Ridge
467,912,1.0,Ridge
468,916,1.0,Ridge
469,919,1.0,Ridge
470,921,1.0,Ridge
471,925,1.0,Ridge
472,927,1.0,Ridge
473,928,1.0,Ridge
474,929,1.0,Ridge
475,930,1.0,Ridge
476,934,1.0,Ridge
477,940,1.0,Ridge
478,941,1.0,Ridge
479,942,1.0,Ridge
480,944,1.0,Ridge
481,945,1.0,Ridge
482,946,1.0,Ridge
483,947,1.0,Ridge
484,948,1.0,Ridge
485,949,1.0,Ridge
486,951,1.0,Ridge
487,954,1.0,Ridge
488,957,1.0,Ridge
489,958,1.0,Ridge
490,960,1.0,Ridge
491,961,1.0,Ridge
492,962,1.0,Ridge
493,966,1.0,Ridge
494,967,1.0,Ridge
495,970,1.0,Ridge
496,971,1.0,Ridge
497,972,1.0,Ridge
498,974,1.0,Ridge
499,977,1.0,Ridge
500,978,1.0,Ridge
501,979,1.0,Ridge
502,980,1.0,Ridge
503,981,1.0,Ridge
504,982,1.0,Ridge
505,986,1.0,Ridge
506,991,1.0,Ridge
507,992,1.0,Ridge
508,993,1.0,Ridge
509,994,1.0,Ridge
510,995,1.0,Ridge
511,996,1.0,Ridge
512,997,1.0,Ridge
513,1004,1.0,Ridge
514,1005,1.0,Ridge
515,1008,1.0,Ridge
516,1011,1.0,Ridge
517,1012,1.0,Ridge
518,1013,1.0,Ridge
519,1016,1.0,Ridge
520,1018,1.0,Ridge
521,1019,1.0,Ridge
522,1021,1.0,Ridge
523,1022,1.0,Ridge
524,1023,1.0,Ridge
525,1024,1.0,Ridge
526,1025,1.0,Ridge
527,1026,1.0,Ridge
528,1027,1.0,Ridge
529,1028,1.0,Ridge
530,1029,1.0,Ridge
531,1031,1.0,Ridge
532,1033,1.0,Ridge
533,1034,1.0,Ridge
534,1036,1.0,Ridge
535,1039,1.0,Ridge
536,1040,1.0,Ridge
537,1042,1.0,Ridge
538,1043,1.0,Ridge
539,1044,1.0,Ridge
540,1045,1.0,Ridge
541,1047,1.0,Ridge
542,1048,1.0,Ridge
543,1049,1.0,Ridge
544,1050,1.0,Ridge
545,1051,1.0,Ridge
546,1052,1.0,Ridge
547,1054,1.0,Ridge
548,1056,1.0,Ridge
549,1057,1.0,Ridge
550,1058,1.0,Ridge
551,1059,1.0,Ridge
552,1060,1.0,Ridge
553,1064,1.0,Ridge
554,1068,1.0,Ridge
555,1069,1.0,Ridge
556,1071,1.0,Ridge
557,1072,1.0,Ridge
558,1074,1.0,Ridge
559,1075,1.0,Ridge
560,1076,1.0,Ridge
561,1077,1.0,Ridge
562,1078,1.0,Ridge
563,1079,1.0,Ridge
564,1081,1.0,Ridge
565,1082,1.0,Ridge
566,1086,1.0,Ridge
567,1087,1.0,Ridge
568,1088,1.0,Ridge
569,1090,1.0,Ridge
570,1091,1.0,Ridge
571,1094,1.0,Ridge
572,1096,1.0,Ridge
573,1097,1.0,Ridge
574,1100,1.0,Ridge
575,1101,1.0,Ridge
576,1102,1.0,Ridge
577,1103,1.0,Ridge
578,1104,1.0,Ridge
579,1106,1.0,Ridge
580,1107,1.0,Ridge
581,1108,1.0,Ridge
582,1109,1.0,Ridge
583,1110,1.0,Ridge
584,1112,1.0,Ridge
585,1114,1.0,Ridge
586,1117,1.0,Ridge
587,1119,1.0,Ridge
588,1121,1.0,Ridge
589,1124,1.0,Ridge
590,1125,1.0,Ridge
591,1126,1.0,Ridge
592,1127,1.0,Ridge
593,1128,1.0,Ridge
594,1130,1.0,Ridge
595,1131,1.0,Ridge
596,1132,1.0,Ridge
597,1133,1.0,Ridge
598,1134,1.0,Ridge
599,1136,1.0,Ridge
600,1137,1.0,Ridge
601,1138,1.0,Ridge
602,1147,1.0,Ridge
603,1148,1.0,Ridge
604,1150,1.0,Ridge
605,1151,1.0,Ridge
606,1152,1.0,Ridge
607,1153,1.0,Ridge
608,1157,1.0,Ridge
609,1158,1.0,Ridge
610,1159,1.0,Ridge
611,1166,1.0,Ridge
612,1170,1.0,Ridge
613,1171,1.0,Ridge
614,1172,1.0,Ridge
615,1175,1.0,Ridge
616,1177,1.0,Ridge
617,1179,1.0,Ridge
618,1180,1.0,Ridge
619,1181,1.0,Ridge
620,1182,1.0,Ridge
621,1183,1.0,Ridge
622,1185,1.0,Ridge
623,1186,1.0,Ridge
624,1188,1.0,Ridge
625,1189,1.0,Ridge
626,1190,1.0,Ridge
627,1191,1.0,Ridge
628,1192,1.0,Ridge
629,1193,1.0,Ridge
630,1195,1.0,Ridge
631,1196,1.0,Ridge
632,1198,1.0,Ridge
633,1199,1.0,Ridge
634,1200,1.0,Ridge
635,1202,1.0,Ridge
636,1203,1.0,Ridge
637,1204,1.0,Ridge
638,1208,1.0,Ridge
639,1209,1.0,Ridge
640,1210,1.0,Ridge
641,1213,1.0,Ridge
642,1217,1.0,Ridge
643,1218,1.0,Ridge
644,1219,1.0,Ridge
645,1222,1.0,Ridge
646,1224,1.0,Ridge
647,1225,1.0,Ridge
648,1226,1.0,Ridge
649,1231,1.0,Ridge
650,1233,1.0,Ridge
651,1234,1.0,Ridge
652,1236,1.0,Ridge
653,1237,1.0,Ridge
654,1238,1.0,Ridge
655,1239,1.0,Ridge
656,1241,1.0,Ridge
657,1242,1.0,Ridge
658,1244,1.0,Ridge
659,1246,1.0,Ridge
660,1247,1.0,Ridge
661,1248,1.0,Ridge
662,1250,1.0,Ridge
663,1251,1.0,Ridge
664,1254,1.0,Ridge
665,1255,1.0,Ridge
666,1256,1.0,Ridge
667,1257,1.0,Ridge
668,1262,1.0,Ridge
669,1263,1.0,Ridge
670,1265,1.0,Ridge
671,1268,1.0,Ridge
672,1270,1.0,Ridge
673,1272,1.0,Ridge
674,1273,1.0,Ridge
675,1274,1.0,Ridge
676,1275,1.0,Ridge
677,1279,1.0,Ridge
678,1280,1.0,Ridge
679,1281,1.0,Ridge
680,1283,1.0,Ridge
681,1285,1.0,Ridge
682,1291,1.0,Ridge
683,1293,1.0,Ridge
684,1295,1.0,Ridge
685,1298,1.0,Ridge
